cardName	textBox	coinAmount	artCredit	notes
Apprentice	You chose to remove a counter from ToolIcon this turn.	1	Anthony Palumbo \nMTG: Ixalan \n(Seekers' Apprentice)	CareTool
Crowds	You have exactly 0 TokenIcon left after selling.	1	Lorraine Fajardo \nDominion: Cornucopia \n(Followers)	
Farmer	You have at least 5 TokenIcon left after selling.	1	Sai Beppu \nDominion: Rising Sun \n(Good Harvest)	
Lender	You chose to remove a counter from HouseIcon this turn.	1	Matthias Catrein \nDominion \n(Moneylender)	CareHouse
Miser	Sell exactly 2 TokenIcon.	1	Marco Primo \nDominion: Adventures \n(Miser)	
Patron	You chose to remove a counter from ArtIcon this turn.	1	Claus Stephan \nDominion: Renaissance \n(Patron)	CareArt
Reader	You chose to remove a counter from BookIcon this turn.	1	Elisa Cella \nDominion: Renaissance \n(Scholar)	CareBook
Collector	Sell at least 1 ArtIcon, 1 HouseIcon, 1 ToolIcon, and 1 BookIcon.	2	Hans Krill \nDominion: Allies \n(Herb Gatherer)	CareArt, CareHouse, CareTool, CareBook
Piper	Sell at least 4 TokenIcon at 1 LevelIcon.	2	Irina Nordsol \nMTG: Throne of Eldraine \n(Piper of the Swarm)	Care1
Scavenger	The LevelIcon of all sold TokenIcon total to exactly 4.	2	Franz Vohwinkel \nDominion: Dark Ages \n(Scavenger)	
Villager	Sell at least 2 TokenIcon at 2 LevelIcon.	2	Julien Delval \nDominion: Allies \n(Miller)	Care2
Artisan	Sell 1 HouseIcon, 1 ToolIcon with a higher LevelIcon, and 1 ArtIcon with an even higher LevelIcon.	3	Harald Lieske \nDominion \n(Artisan)	CareHouse, CareTool, CareArt
Author	Sell 1 ToolIcon, 1 ArtIcon with a higher LevelIcon, and 1 BookIcon with an even higher LevelIcon.	3	Harald Lieske \nDominion: Prosperity \n(Clerk)	CareTool, CareArt, CareBook
Bishop	Sell 1 ArtIcon, 1 BookIcon with a higher LevelIcon, and 1 HouseIcon with an even higher LevelIcon.	3	Tommy Arnold \nMTG: Ixalan \n(Bishop of Rebirth)	CareArt, CareBook, CareHouse
Bulk_Buyer	Sell at least 6 TokenIcon.	3	Eric J. Carter \nDominion: Cornucopia and Guilds \n(Shop)	
Craftsman	Sell at least 1 ToolIcon at 6 LevelIcon.	3	Hasegawa \nDominion: Rising Sun \n(Craftsman)	Care6, CareTool
Hunter	The LevelIcon of all sold TokenIcon total to exactly 6.	3	Julien Delval \nDominion: Allies \n(Hunter)	
Mayor	Sell at least 1 HouseIcon at 6 LevelIcon.	3	Svetlin Velinov \nMTG: Innistrad \n(Mayor of Avabruck)	Care6, CareHouse
Musician	Sell at least 1 ArtIcon at 6 LevelIcon.	3	Anna Steinbauer \nMTG: Kamigawa: Neon Dynasty \n(Jukai Naturalist)	Care6, CareArt
Scientist	Sell 1 BookIcon, 1 HouseIcon with a higher LevelIcon, and 1 ToolIcon with an even higher LevelIcon.	3	Lie Setiawan \nMTG: Strixhaven: School of Mages \n(Solve the Equation)	CareBook, CareHouse, CareTool
Storyteller	Sell at least 1 BookIcon at 6 LevelIcon.	3	Claus Stephan \nDominion: Adventures \n(Storyteller)	Care6, CareBook
Aristocrat	Sell at least 2 TokenIcon at 4 LevelIcon.	4	Yusume Mamada \nDominion: Rising Sun \n(Aristocrat)	Care4
Coven	Sell at least 4 TokenIcon at 2 LevelIcon.	4	Claus Stephan \nDominion: Menagerie \n(Coven)	Care2
Driver	The LevelIcon of all sold TokenIcon total to exactly 8.	4	Dennis Lohausen \nDominion: Dark Ages \n(Ironmonger)	
Engineer	Sell at least 4 HouseIcon with consecutively ordered LevelIcon.	5	Elisa Cella \nDominion: Empires \n(Engineer)	CareHouse
Historian	Sell at least 4 BookIcon with consecutively ordered LevelIcon.	5	Joshua Stewart \nDominion: Renaissance \n(Seer)	CareBook
Inventor	Sell at least 4 ToolIcon with consecutively ordered LevelIcon.	5	Julien Delval \nDominion: Renaissance \n(Inventor)	CareTool
Magnate	The LevelIcon of all sold TokenIcon total to exactly 10.	5	Harald Lieske \nDominion: Prosperity \n(Magnate)	
Sculptor	Sell at least 4 ArtIcon with consecutively ordered LevelIcon.	5	Jessi J \nDominion: Renaissance \n(Sculptor)	CareArt
Family	Sell at least 4 TokenIcon at 3 LevelIcon.	6	Mizutametori \nMTG: Wizards Play Network 2025\n(Gran-Gran)	Care3
Royalty	Sell at least 2 TokenIcon at 6 LevelIcon.	6	Kieran Yanner \nMTG: Throne of Eldraine \n(Kenrith, the Returned King)	Care6
