cardName	textBox	artCredit	notes
Grab_Bag	 +1 ArtIcon, +1 HouseIcon, +1 SwordIcon, and +1 TechIcon, all at 1 LevelIcon.		AddArt, AddHouse, AddSword, AddTech
High_Art	 +1 ArtIcon, where its LevelIcon is equal to your SwordIcon with the highest LevelIcon.		AddArt, CareSword
High_House	 +1 HouseIcon at 6 LevelIcon. Then lose 2 HouseIcon.		AddHouse, LoseHouse
High_Sword	 +1 SwordIcon, where its LevelIcon is equal to the number of HouseIcon you have.		AddSword, CareHouse
High_Tech	 +1 TechIcon at 6 LevelIcon. Then downgrade 2 TokenIcon that are at 2 LevelIcon or higher.		AddTech, Downgrade
Make_Art	If you have at least 5 CoinIcon, +4 ArtIcon at 1 LevelIcon.		CoinOrMore, AddArt
Make_House	If you have at least 3 TokenIcon at exactly 2 LevelIcon, +4 HouseIcon at 1 LevelIcon.		TokenOrMore, Care2, AddHouse
Make_Sword	If you have at least 1 TokenIcon at 6 LevelIcon, +4 SwordIcon at 1 LevelIcon.		TokenOrMore, Care6, AddSword
Make_Tech	If you have no TechIcon, +4 TechIcon at 1 LevelIcon.		TokenOrLess, CareTech, AddTech
Strength_In_Numbers	 +1 CoinIcon per 2 CardIcon you sold this turn (round down).		GainCoin
Upgrade_All	Upgrade 1 ArtIcon, 1 HouseIcon, 1 SwordIcon, and 1 TechIcon, each by 1 LevelIcon.		UpgradeArt, UpgradeHouse, UpgradeSword, UpgradeTech
Upgrade_Three	Upgrade all your TokenIcon from 3 LevelIcon up to 4 LevelIcon.		Care3, UpgradeAny
