Game_Designer	by Thomas Tang (DZ)
Last_Update	Last Updated: Jan 28, 2026
Blank	
Translator_Credit	Original Language
Language	Language
Loading	Loading
Update_History	Update History
Upload_Translation	Upload Translation
Download_English	Download English
Select_Region	Select Region
US_West_Coast	US West Coast
US_East_Coast	US East Coast
Europe	Europe
Asia	Asia
Single_Player	Single Player
Connect	Connect
Enter_username	Enter username
Disconnect	Disconnect
Disconnected_from_server	Disconnected from the server.
Failed_to_connect_to_server	Failed to connect to the server.
Reconnect	Reconnect
Tutorial_1	To play multiplayer: Have 1 person create a room, then their room should be displayed below. Everyone also must have joined the same server region.
Tutorial_2	Click a button below to join a room, or manually type in the host's username (yellow rooms are spectator only)
Create	Create
Create_Room_with_players	Create a room with how many players?
Enter_hostname	Enter host's username
Join	Join
Player_Count	$Current$ / $Max$ Players
Type_in_username	You have to type in a username.
Attempt_to_reconnect	Attempting to reconnect to $Room$'s room...
Failed_to_reconnect	Failed to reconnect to $Room$'s room.
Encyclopedia	Encyclopedia
Close	Close
Choose_Twists	Choose Twists for this game
Custom_Twist_1	Twist ArtIcon
Custom_Twist_2	Twist HouseIcon
Custom_Twist_3	Twist SwordIcon
Custom_Twist_4	Twist TechIcon
Choose	Choose
Random	Random
Type_into_chat	Type into chat
Online_Player_Playing	$Player$ is playing.
Online_Player_Spectating	$Player$ is spectating.
Online_Player_Reconnected	$Player$ reconnected.
Online_Player_Disconnected	$Player$ has disconnected.
Online_Player_Quit	$Player$ has quit the room.
Online_Waiting_on_Players	Waiting on players ($Num$ more)
Undo	Undo
Short	Short
Long	Long
CardIcon	CardIcon
ArtIcon	ArtIcon
HouseIcon	HouseIcon
SwordIcon	SwordIcon
TechIcon	TechIcon
CrownIcon	CrownIcon
TokenIcon	TokenIcon
Art1	ArtIcon (1)
Art2	ArtIcon (2)
Art3	ArtIcon (3)
Art4	ArtIcon (4)
Art5	ArtIcon (5)
Art6	ArtIcon (6)
House1	HouseIcon (1)
House2	HouseIcon (2)
House3	HouseIcon (3)
House4	HouseIcon (4)
House5	HouseIcon (5)
House6	HouseIcon (6)
Sword1	SwordIcon (1)
Sword2	SwordIcon (2)
Sword3	SwordIcon (3)
Sword4	SwordIcon (4)
Sword5	SwordIcon (5)
Sword6	SwordIcon (6)
Tech1	TechIcon (1)
Tech2	TechIcon (2)
Tech3	TechIcon (3)
Tech4	TechIcon (4)
Tech5	TechIcon (5)
Tech6	TechIcon (6)
Online_Next_Turn	Turn $Number$
Add_Or_Advance	Choose one: +1 TokenIcon (1), or advance 1 TokenIcon.
Online_Add_Score	$Player$ gets +$Num$ CrownIcon.
Online_Lose_Score	$Player$ loses $Num$ CrownIcon.
Online_Add_Token	$Player$ adds $Num$ $Token$.
Online_Remove_Token	$Player$ removes $Num$ $Token$.
Online_Draw_Placard	$Player$ draws $Card$.
Online_Draw_Placard_Others	$Player$ draws 1 CardIcon.
Online_Discard_Placard	$Player$ discards $Card$.
Ask_Submission	Submit 2+ TokenIcon, while meeting requirements for 2+ CardIcon.
Online_Make_Submission	$Player$ submits $TokenNum$ tokens and $CardNum$ placards.
Online_No_Submission	$Player$ doesn't submit.
Undo_Submission	Undo All
Online_Twists_To_Resolve	Twists to resolve: $Num$
Resolve_Twist	Choose a Twist to resolve.
Online_Resolve_Card	$Player$ resolves $Card$.
Confirm	Confirm
Decline	Decline
Choose_One_Instruction	Choose one ($Card$).
Discard_Instruction	Discard 1 Card ($Card$).
Done	Done
Pause_to_Read	A pause to let you read things.
Pause_to_Undo	Last chance to undo anything.
Game_Over	Game Over
Leave	Leave
Online_Tie_Game	The game is a tie.
Online_Player_Resigned	$Player$ has resigned.
Online_Player_Won	$Player$ has won.
Resigned	(Resigned)
Switch_Player	Switch Player
Rules	Rules
Rules_Summary	Each Turn: \n1. Either add a token at rank 1, or advance 1 token on your grid. \n2. Remove a counter from that token's Twist. \n3. Submit 2+ tokens and 2+ placards at once to score crowns. \n\nBetween Turns:\n4. For each Twist with 0 counters, each player draws 2 placards and follows its instructions. \n5. Add the counters back onto those Twists (2 per player). \n6. The first player to reach 20+ crowns wins.
Placard	Placard
Perfect_Fit	Perfect Fit
Perfect_Fit_Text	Have exactly 0 TokenIcon after submitting.
Unnecessary_Surplus	Unnecessary Surplus
Unnecessary_Surplus_Text	Have 5 TokenIcon or more after submitting.
Bare_Minimum	Bare Minimum
Bare_Minimum_Text	This submission has exactly 2 TokenIcon.
Above_And_Beyond	Above and Beyond
Above_And_Beyond_Text	This submission has 4 TokenIcon or more.
Strength_In_Numbers	Strength in Numbers
Strength_In_Numbers_Text	This submission has 4 CardIcon or more (including this).
Rise_Of_Villages	Rise of Villages
Rise_Of_Villages_Text	2 TokenIcon (2).
Rise_Of_Kingdoms	Rise of Kingdoms
Rise_Of_Kingdoms_Text	2 TokenIcon (4).
Rise_Of_Empires	Rise of Empires
Rise_Of_Empires_Text	2 TokenIcon (6).
Twist	Twist
Make_Art	Make Art
Make_Art_Text	 +2 ArtIcon (1).
Make_House	Make House
Make_House_Text	 +2 HouseIcon (1).
Make_Sword	Make Sword
Make_Sword_Text	 +2 SwordIcon (1).
Make_Tech	Make Tech
Make_Tech_Text	 +2 TechIcon (1).
